经方方证 JUnit 测试套件 —— 运行报告
生成时间：2026-09-22T12:59:29.888974800
用例总数：280，通过 259，失败 21，跳过 0，总墙钟 105.7s

──────── 全部用例（按 @Order 排序） ────────
FAIL   ShaoyinTaiyinFangzhengTest         t_jiegengtang                    「桔梗汤证」             0.38s  @Order(213)
       └─ expected: "Shaoyinbing" but was: null
FAIL   ShaoyinTaiyinFangzhengTest         t_banxiasanjitang                「半夏散及汤证」           0.39s  @Order(214)
       └─ expected: "Shaoyinbing" but was: null
FAIL   ShaoyinTaiyinFangzhengTest         t_kujiutang                      「苦酒汤证」             0.35s  @Order(215)
       └─ expected: "Shaoyinbing" but was: null
PASS   ShaoyinTaiyinFangzhengTest         t_fuzitang_shaoyin               「附子汤证（少阴）」         0.36s  @Order(216)
PASS   ShaoyinTaiyinFangzhengTest         t_ganjiangfuzitang_zhongye       「干姜附子汤证（阳明中暍）」     0.32s  @Order(217)
PASS   ShaoyinTaiyinFangzhengTest         t_wutouchishizhiwan              「乌头赤石脂丸证」          0.32s  @Order(221)
FAIL   ShaoyinTaiyinFangzhengTest         t_fulingguizhigancaodazaotang    「茯苓桂枝甘草大枣汤证」       0.35s  @Order(241)
       └─ expected: "Taiyangbing" but was: null
PASS   ShaoyinTaiyinFangzhengTest         t_lingguizhugantang              「苓桂术甘汤证」           0.34s  @Order(243)
PASS   ShaoyinTaiyinFangzhengTest         t_wulingsan                      「五苓散证」             0.39s  @Order(244)
PASS   ShaoyinTaiyinFangzhengTest         t_fulinggancaotang               「茯苓甘草汤证」           0.31s  @Order(248)
PASS   ShaoyinTaiyinFangzhengTest         t_fulingzexietang                「茯苓泽泻汤证」           0.28s  @Order(249)
PASS   ShaoyinTaiyinFangzhengTest         t_lingganwuweijiangxintang       「苓甘五味姜辛汤证」         0.29s  @Order(254)
PASS   ShaoyinTaiyinFangzhengTest         t_lingganwuweijiangxinxiatang    「苓甘五味姜辛夏汤证」        0.33s  @Order(255)
PASS   ShaoyinTaiyinFangzhengTest         t_lingganwuweijiajiangxinbanxiaxingrentang 「苓甘五味加姜辛半夏杏仁汤证」     0.30s  @Order(256)
PASS   ShaoyinTaiyinFangzhengTest         t_lingganwuweijiajiangxinbanxingdahuangtang 「苓甘五味加姜辛半杏大黄汤证」     0.33s  @Order(257)
PASS   ShaoyinTaiyinFangzhengTest         t_guilingwuweigancaotang         「桂苓五味甘草汤证」         0.34s  @Order(258)
PASS   ShaoyinTaiyinFangzhengTest         t_guizhijialonggumulitang_taiyin 「桂枝加龙骨牡蛎汤证（太阴）」     0.39s  @Order(260)
PASS   ShaoyinTaiyinFangzhengTest         t_guizhishengjiangzhishitang_taiyin 「桂枝生姜枳实汤证（太阴）」     0.30s  @Order(261)
PASS   ShaoyinTaiyinFangzhengTest         t_yuebijiazhutang                「越婢加术汤证」           0.30s  @Order(263)
PASS   ShaoyinTaiyinFangzhengTest         t_huangqiguizhiwuwutang          「黄芪桂枝五物汤证」         0.32s  @Order(401)
PASS   ShaoyinTaiyinFangzhengTest         t_huangqijianzhongtang           「黄芪建中汤证」           0.32s  @Order(402)
PASS   ShaoyinTaiyinFangzhengTest         shouldWarnOnGualouQumaiWanAntagonism 「栝楼瞿麦丸十八反警告检测」     0.36s  @Order(442)
PASS   ShaoyinTaiyinFangzhengTest         t_neibudangguijianzhongtang      「内补当归建中汤证」         0.28s  @Order(545)
PASS   ShaoyinTaiyinFangzhengTest         t_chishizhiyuyuliangtang         「赤石脂禹余粮汤证」         0.41s  @Order(583)
PASS   ShaoyinTaiyinFangzhengTest         t_yinchenwulingsan               「茵陈五苓散证」           0.33s  @Order(592)
PASS   ShaoyinTaiyinFangzhengTest         t_xiaojianzhongtang              「小建中汤证」            0.35s  @Order(705)
PASS   ShaoyinTaiyinFangzhengTest         t_dajianzhongtang                「大建中汤证」            0.37s  @Order(706)
PASS   ShaoyinTaiyinFangzhengTest         t_gancaoganjiangtang             「甘草干姜汤证」           0.36s  @Order(708)
PASS   ShaoyinTaiyinFangzhengTest         t_gancaoganjiangfulingbaizhutang 「甘草干姜茯苓白术汤证」       0.40s  @Order(709)
PASS   ShaoyinTaiyinFangzhengTest         t_dajianzhongtang_retest         「大建中汤证（复测）」        0.35s  @Order(738)
PASS   ShaoyinTaiyinFangzhengTest         t_shufutang                      「术附汤证」             0.32s  @Order(746)
FAIL   ShaoyinTaiyinFangzhengTest         shouldDetectTaiShaoLiangGan      「太少两感检测」           0.11s  @Order(902)
       └─ expected: true but was: null
PASS   ShaoyinTaiyinFangzhengTest         pathAMustOfferAllMissingSizhenForLizhongTang 「路A追问：理中汤证缺口须补齐为「不渴+脉象」，且不得暴露六经/八纲」     0.34s  @Order(990)
PASS   TaiyangFangzhengTest               shouldDiagnoseGuizhiTangPattern  「桂枝汤证诊断」           0.51s  @Order(1)
PASS   TaiyangFangzhengTest               t_guizhijiagegentang             「桂枝加葛根汤证」          0.51s  @Order(2)
PASS   TaiyangFangzhengTest               t_guizhijiahoupoxingrentang      「桂枝加厚朴杏子汤证」        0.35s  @Order(3)
PASS   TaiyangFangzhengTest               t_guizhijiafuzitang              「桂枝加附子汤证」          0.32s  @Order(4)
PASS   TaiyangFangzhengTest               shouldDiagnoseGuizhiQuShaoyaoTangPattern 「桂枝去芍药汤证诊断」        0.30s  @Order(5)
PASS   TaiyangFangzhengTest               t_guizhiqushaoyaojiafuzitang     「桂枝去芍药加附子汤证」       0.31s  @Order(6)
FAIL   TaiyangFangzhengTest               t_guizhixinjiatang               「桂枝新加汤证」           0.37s  @Order(7)
       └─ expected: "Taiyangbing" but was: null
FAIL   TaiyangFangzhengTest               t_guizhijiaguitang               「桂枝加桂汤证」           0.37s  @Order(10)
       └─ expected: "Taiyangbing" but was: null
FAIL   TaiyangFangzhengTest               t_guizhijiahuangqitang           「桂枝加黄芪汤证」          0.41s  @Order(12)
       └─ expected: "Taiyangbing" but was: null
PASS   TaiyangFangzhengTest               t_guizhigancaotang               「桂枝甘草汤证」           0.31s  @Order(13)
PASS   TaiyangFangzhengTest               t_guizhigancaolonggumulitang     「桂枝甘草龙骨牡蛎汤证」       0.37s  @Order(14)
PASS   TaiyangFangzhengTest               t_guizhiqushaoyaojiashuqimulilonggujiunitang 「桂枝去芍药加蜀漆牡蛎龙骨救逆汤证」     0.29s  @Order(15)
PASS   TaiyangFangzhengTest               t_guizhirenshentang              「桂枝人参汤证」           0.39s  @Order(16)
PASS   TaiyangFangzhengTest               t_guizhiquguijiafulingbaizhutang 「桂枝去桂加茯苓白术汤证」      0.36s  @Order(24)
PASS   TaiyangFangzhengTest               shouldDiagnoseMahuangTangPattern 「麻黄汤证诊断」           0.39s  @Order(31)
PASS   TaiyangFangzhengTest               t_mahuangjiazhutang              「麻黄加术汤证」           0.34s  @Order(32)
PASS   TaiyangFangzhengTest               t_maxingganshitang               「麻杏石甘汤证」           0.36s  @Order(37)
PASS   TaiyangFangzhengTest               t_maxingyigantang                「麻杏薏甘汤证」           0.36s  @Order(38)
PASS   TaiyangFangzhengTest               t_mahuanglianqiaochixiaodoutang  「麻黄连翘赤小豆汤证」        0.31s  @Order(39)
PASS   TaiyangFangzhengTest               t_daqinglongtang                 「大青龙汤证」            0.30s  @Order(40)
PASS   TaiyangFangzhengTest               t_xiaoqinglongtang               「小青龙汤证」            0.28s  @Order(41)
PASS   TaiyangFangzhengTest               t_xiaoqinglongjiashigaotang      「小青龙加石膏汤证」         0.40s  @Order(42)
PASS   TaiyangFangzhengTest               t_yuebitang                      「越婢汤证」             0.36s  @Order(45)
FAIL   TaiyangFangzhengTest               t_gancaomahuangtang              「甘草麻黄汤证」           0.44s  @Order(48)
       └─ expected: "Taiyangbing" but was: null
PASS   TaiyangFangzhengTest               t_xingzitang                     「杏子汤证」             0.36s  @Order(49)
PASS   TaiyangFangzhengTest               t_gegentang                      「葛根汤证」             0.33s  @Order(61)
PASS   TaiyangFangzhengTest               t_gegenjiabanxiatang             「葛根加半夏汤证」          0.33s  @Order(62)
PASS   TaiyangFangzhengTest               t_gegenqinliantang               「葛根芩连汤证」           0.37s  @Order(63)
PASS   TaiyangFangzhengTest               t_baizhufuzitang                 「白术附子汤证」           0.34s  @Order(203)
FAIL   TaiyangFangzhengTest               t_gancaofuzitang                 「甘草附子汤证」           0.35s  @Order(204)
       └─ expected: "Gancaofuzitangzheng" but was: "方证未定"
FAIL   TaiyangFangzhengTest               t_fulingguizhibaizhugancaotang   「茯苓桂枝白术甘草汤证」       0.34s  @Order(242)
       └─ expected: "Taiyangbing" but was: null
PASS   TaiyangFangzhengTest               t_guizhifuzitang_taiyin          「桂枝附子汤证（太阴）」       0.40s  @Order(262)
FAIL   TaiyangFangzhengTest               t_daxianxiongtang                「大陷胸汤证」            0.32s  @Order(301)
       └─ expected: "Taiyangbing" but was: null
PASS   TaiyangFangzhengTest               t_daxianxiongwan                 「大陷胸丸证」            0.45s  @Order(302)
PASS   TaiyangFangzhengTest               t_xiaoxianxiongtang              「小陷胸汤证」            0.35s  @Order(303)
FAIL   TaiyangFangzhengTest               t_huangqishaoyaoguizhikujiutang  「黄芪芍药桂枝苦酒汤证」       0.39s  @Order(403)
       └─ expected: "Taiyangbing" but was: null
FAIL   TaiyangFangzhengTest               t_gualouguizhitang               「栝蒌桂枝汤证」           0.44s  @Order(441)
       └─ expected: "Taiyangbing" but was: null
FAIL   TaiyangFangzhengTest               t_sanwubaisan                    「三物白散证」            0.33s  @Order(585)
