Buyushi;Ji;Kouku;Qicongshaofushangchongxin;Shizetuhui;Shouzuleng;Xiaoke;Xinzhongtengre | rc=2 | T1=None                                   | Wumeiwanzheng(5/8,j=0.42,p2)R Dangguisinitangzheng(1/2,j=0.10,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.09,p3) Fulinggancaotangzheng(1/4,j=0.08,p3)
Duanqi;Jiaozhongrutuo;Shentiwanglei;Shouzuleng;Touxuan;Wenwenyutu;Xiaoke;Zhuzhijietengtong | rc=2 | T1=None                                   | Guizhishaoyaozhimutangzheng(3/3,j=0.30,p3)R Dangguisinitangzheng(1/2,j=0.09,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.08,p3) Shufutangzheng(1/3,j=0.08,p3)
Buyushi;Kouku;Momo;Wanglaihanre;Xinfan;Xiongxiekuman;Xiou              | rc=1 | T1=None                                   | Xiaochaihutangzheng(7/9,j=0.70,p3)R Baihezhimutangzheng(2/3,j=0.22,p5) Sinisanzheng(2/5,j=0.18,p3) Chaihubaihutangzheng(2/6,j=0.17,p2)
Chaore;Dabianying;Fuman;Futong;Kouku;Outubuzhi;Wanglaihanre;Xinxiaanzhimantong;Xinxiaji;Xiongxiekuman;Yuyuweifan;Zhanyu | rc=2 | T1=None                                   | Dachengqitangzheng(4/6,j=0.27,p1) Dachaihutangzheng(3/4,j=0.21,p2)R Sinisanzheng(3/5,j=0.20,p3) Chaihujiamangxiaotangzheng(2/4,j=0.13,p3)
Chaore;Kouke;Kouku;Ou;Wanglaihanre;Xiali;Xiongxiekuman                 | rc=3 | T1=None                                   | Chaihujiamangxiaotangzheng(3/4,j=0.30,p3)R Sinisanzheng(3/5,j=0.27,p3) Chaihubaihutangzheng(3/6,j=0.25,p2) Huangqinjiabanxiashengjiangtangzheng(2/2,j=0.22,p3)
Chaore;Dabianying;Fanzao;Kouke;Kouku;Wanglaihanre;Xiaobianbuli;Xiongman;Xiongxiekuman;Zhanyu | rc=7 | T1=None                                   | Chaihujialonggumulitangzheng(4/4,j=0.33,p2)R Chaihubaihutangzheng(3/6,j=0.20,p2) Zhulingtangzheng(2/3,j=0.15,p2)R Chaihuguizhiganjiangtangzheng(2/3,j=0.15,p3)
Buke;Buou;Dantouhanchu;Fuman;Kouke;Kouku;Wanglaihanre;Xiaobianbuli;Xinfan;Xiongxiekuman | rc=6 | T1=None                                   | Chaihuguizhiganjiangtangzheng(3/3,j=0.25,p3)R Chaihubaihutangzheng(3/6,j=0.20,p2) Xiaochaihutangzheng(4/9,j=0.24,p3)R Zhizihoupotangzheng(2/3,j=0.15,p2)
Kouke;Runvezhuang;Wanglaihanre;Xiongxiekuman                           | rc=3 | T1=None                                   | Chaihubaihutangzheng(3/6,j=0.38,p2) Chaihuqubanxiajiagualoutangzheng(2/3,j=0.33,p3)R Sinisanzheng(2/5,j=0.25,p3) Baihexifangzheng(1/1,j=0.20,p5)R
Dahan;Danrebuhan;Danyumei;Ehan;Fare;Fuman;Kouburen;Kouke;Kouku;Miangou;Muhezehan;Nanyizhuance;Shenzhong;Wanglaihanre;Wuhan;Xiongxiekuman;Yiniao;Zhanyu | rc=3 | T1=None                                   | Chaihubaihutangzheng(6/6,j=0.27,p2)R Guizhieryuebiyitangzheng(3/5,j=0.13,p3) Xiaochaihutangzheng(3/9,j=0.11,p3)R Houpoqiwutangzheng(2/3,j=0.09,p2)
Citong;Kouku;Wanglaihanre;Xiongman;Xiongxiekuman                       | rc=1 | T1=None                                   | Sinisanzheng(2/5,j=0.18,p3) Chaihubaihutangzheng(2/6,j=0.17,p2) Baihedihuangtangzheng(1/2,j=0.11,p5) Baihehuashisanzheng(1/3,j=0.10,p5)
Kouku;Touxuan;Wanglaihanre;Xinji;Xiongxiekuman                         | rc=1 | T1=None                                   | Sinisanzheng(2/5,j=0.17,p3) Chaihubaihutangzheng(2/6,j=0.15,p2) Baihedihuangtangzheng(1/2,j=0.10,p5) Baihehuashisanzheng(1/3,j=0.09,p5)
Dabianying;Outubuzhi;Touxuan;Wanglaihanre;Xinji;Xinxiaanzhimantong;Xinxiaji;Xiongxiekuman;Yuyuweifan | rc=2 | T1=None                                   | Dachaihutangzheng(3/4,j=0.21,p2)R Sinisanzheng(2/5,j=0.13,p3) Chaihubaihutangzheng(2/6,j=0.12,p2) Mijiandaofangzheng(1/3,j=0.07,p3)
Buyushi;Kouku;Momo;Shantaixi;Wanglaihanre;Xinfan;Xiongxiekuman;Xiou;Yanzhongruyouzhiluan | rc=1 | T1=None                                   | Xiaochaihutangzheng(7/9,j=0.58,p3)R Baihezhimutangzheng(2/3,j=0.18,p5) Sinisanzheng(2/5,j=0.15,p3) Chaihubaihutangzheng(2/6,j=0.14,p2)
Dahan;Dake;Danrebuhan;Dare;Kouke                                       | rc=1 | T1=None                                   | Baihutangzheng(4/4,j=0.67,p2)R Baihujiarenshentangzheng(3/4,j=0.43,p2) Chaihubaihutangzheng(2/6,j=0.20,p2) Baihujiaguizhitangzheng(1/2,j=0.14,p3)
Dahan;Dake;Dare;Kouke;Kousheganzao                                     | rc=2 | T1=None                                   | Baihujiarenshentangzheng(4/4,j=0.67,p2)R Baihutangzheng(4/4,j=0.67,p2)R Chaihubaihutangzheng(2/6,j=0.20,p2) Zhulingtangzheng(1/3,j=0.13,p2)
