pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:GuiZhiJiaDaHuangTang,桂枝加大黄汤证,lj:Taiyin_Instance,,2,zz:DaShiTong(9.6184); 【10.17】(8.6184)
fj:BaiZhuZhiShiGanJiangBaiMiTang,白术枳实干姜白蜜汤证,lj:Taiyin_Instance,,3,zz:DaBianFanYing(9.6184); zz:FuZhongZhangMan(9.6184); 【10.19】(8.6184)
fj:HuangQiWuWuJiaGanJiangBanXiaTang,黄芪五物加干姜半夏汤证,lj:Taiyin_Instance,,2,【10.19】(8.6184); zz:DuanQi(6.811)
fj:BanXiaFuLingTang,半夏茯苓汤证,lj:Taiyin_Instance,,3,zz:KeYuYinShui(9.6184); zz:YinShuiJiTu(9.6184); 【10.20】(9.6184)
fj:RenShenBaiZhuShaoYaoGanCaoTang,人参白术芍药甘草汤证,lj:Taiyin_Instance,,3,zz:KouKe(9.6184); 【10.21】(9.6184); zz:XiaLi(5.7115)
fj:HouPoSiWuTang,厚朴四物汤证,lj:Taiyin_Instance,,2,zz:FuDaErZhang(9.6184); 【10.22】(9.6184)
fj:LiZhongJiaHuangQiTang,理中加黄芪汤证,lj:Taiyin_Instance,,2,zz:YiShiWuDu(9.6184); 【10.23】(9.6184)
fj:GuiZhiQuShaoYaoJiaFuLingBaiZhuTang,桂枝去芍药加茯苓白术汤证,lj:Taiyin_Instance,,3,zz:YuTuBuTu(9.6184); zz:XiaLiShiShu(9.6184); 【10.24】(9.6184)
fj:XiaoChaiHuJiaFuLingBaiZhuTang,小柴胡加茯苓白术汤证,lj:Taiyin_Instance,,4,zz:TuNi(9.6184); zz:FuZhongLengTong(9.6184); zz:LeiMingXiaLi(9.6184); 【10.25】(9.6184)
fj:HouPoZhiShiBaiZhuGanCaoTang,厚朴枳实白术甘草汤证,lj:Taiyin_Instance,,3,zz:YouSuShi(9.6184); zz:DaBianTang(9.6184); 【10.26】(9.6184)
fj:MaHuangFuZiXiXinTang,麻黄附子细辛汤证,lj:Shaoyin_Instance,,3,【11.21】(9.6184); zz:EHan(6.159); zz:FaRe(5.2965)
fj:MaHuangFuZiGanCaoTang,麻黄附子甘草汤证,lj:Shaoyin_Instance,,2,zz:WeiFaRe(9.6184); 【11.22】(9.6184)
fj:HuangLianEJiaoTang,黄连阿胶汤证,lj:Shaoyin_Instance,,3,【11.23】(9.6184); zz:BuDeWo(8.0334); zz:XinFan(7.0334)
fj:FuZiTang,附子汤证,lj:Shaoyin_Instance,,5,zz:ShenTiTong(9.6184); zz:ShouZuHan(9.6184); zz:GuJieTong(9.6184); zz:BeiEHan(9.6184); 【11.24】(9.6184)
